feature,tabnet_importance
DBP_max_3h,0.00026445593148198137
MAP_std_12h,0.0002584896835395405
O2Sat_slope_3h,0.0002521434783197002
DBP_std_6h,0.00023856603939296448
Lactate_min_6h,0.00023582036580619943
MAP_max_3h,0.00022853574539156776
O2Sat_std_3h,0.0002231553152225167
Resp_std_6h,0.00022015442642720233
MAP_std_3h,0.00021573709516579262
SBP_mean_12h,0.00021487983176170038
WBC_max_3h,0.00021380803774647363
Potassium_slope_6h,0.00021155125400209676
Temp_hours_since_last,0.00020314273450610965
Platelets_min_12h,0.00020147201249611155
Temp_min_6h,0.00019703736715192288
O2Sat_max_6h,0.0001964642804897298
Lactate_max_3h,0.0001961662383194131
MAP_missing,0.00019607318070898446
O2Sat_ffill,0.0001872845217585838
BUN_min_3h,0.00017670550343249985
Creatinine_slope_6h,0.0001700534148711893
HR_min_12h,0.00016788053478627632
DBP_max_6h,0.00014611525561100176
MAP_slope_3h,0.00014472262489285465
Potassium_slope_3h,0.00013032632561771573
MAP_velocity_1h,0.00012589242771800173
O2Sat_max_3h,0.00011982160796836301
SBP_velocity_1h,0.0001083893909122173
Resp_std_3h,0.00010765852905171886
O2Sat_mean_3h,0.00010761485906591644
Creatinine_slope_12h,0.0001035983181737174
SBP_max_3h,0.00010247252542860909
BUN_mean_3h,0.0001005399661221953
Creatinine_hours_since_last,9.619809482999436e-05
WBC_std_6h,9.363606575728285e-05
Glucose_velocity_1h,9.348818603273788e-05
Creatinine_min_3h,8.236278889322908e-05
Glucose_slope_6h,8.140447496442335e-05
BUN_slope_3h,7.632195090722666e-05
BUN_max_3h,7.618970156532375e-05
Resp_min_3h,7.45248973112187e-05
Bilirubin_total_max_12h,7.27210386136523e-05
Creatinine_missing,7.268079003220628e-05
O2Sat_velocity_1h,7.013614551494571e-05
O2Sat_missing,6.424629965058961e-05
Resp_slope_3h,5.8162815674701864e-05
Bilirubin_total_slope_12h,5.571138857989252e-05
HR_slope_3h,5.383631354623097e-05
Lactate_max_6h,4.616011072059864e-05
Glucose_mean_12h,4.38229055803006e-05
Platelets_slope_3h,3.964276175205514e-05
Bilirubin_total_velocity_1h,3.64376802731176e-05
Glucose_slope_3h,2.3511163791108232e-05
DBP_velocity_1h,1.8005316342269492e-05
DBP_slope_6h,1.5325841222124375e-05
Glucose_std_12h,1.0286150319074014e-05
Glucose_max_6h,4.6310583124724504e-07
